stratum,years,no_of_years,species,percent_change_yr_density,lcl95_d,ucl95_d,f_density_trend,no_of_detections,percent_change_yr_occupancy,lcl95_occ,ucl95_occ,f_occupancy_trend,no_of_points,start_year,end_year,n_years_verify,stratum_name,stratum_short_code,order,d_t,d_n_p,o_t,o_t_p,narrative_single
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Black-and-white Warbler,11.43211823,-18.38,61.02,0.73799999999999999,1,11.9180059,-19.13,61.19,0.742553191,1,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,11.43,estimated an uncertain,11.92,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of 11.43% [95% CL -18.38%, 61.02%, (n=1, f=0.738)] per year and estimated an uncertain median occupancy trend of 11.92% [95% CL -19.13%, 61.19%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Black-billed Cuckoo,1.3202577019999999,-28.37,45.46,0.504,1,6.243650873,-22.96,54.36,0.623404255,0,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,1.32,estimated an uncertain,6.24,estimated an uncertain,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of 1.32% [95% CL -28.37%, 45.46%, (n=1, f=0.504)] per year and estimated an uncertain median occupancy trend of 6.24% [95% CL -22.96%, 54.36%, (n=0, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Black-billed Magpie,6.4460685819999997,-18.82,36.92,0.65,3,3.93375121,-19.84,43.61,0.585877863,0,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,6.45,estimated an uncertain,3.93,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of 6.45% [95% CL -18.82%, 36.92%, (n=3, f=0.65)] per year and estimated an uncertain median occupancy trend of 3.93% [95% CL -19.84%, 43.61%, (n=0, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Black-billed Magpie,11.31301056,-12.12,40.21,0.79,27,2.430712906,-22.83,37.13,0.532442748,2,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,11.31,estimated an uncertain,2.43,estimated an uncertain,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of 11.31% [95% CL -12.12%, 40.21%, (n=27, f=0.79)] per year and estimated an uncertain median occupancy trend of 2.43% [95% CL -22.83%, 37.13%, (n=2, f=1)] per year from 2013 to 2023"
SD-BCR17-GG: Buffalo Gap National Grassland,2013-2023,11,Black-billed Magpie,5.3939545960000004,-19.13,39.54,0.626,2,3.729077147,-19.99,41.48,0.580152672,1,2013,2023,11,Buffalo Gap National Grassland,SD-BCR17-GG,1,5.39,estimated an uncertain,3.73,estimated an uncertain,"Buffalo Gap National Grassland (SD-BCR17-GG) estimated an uncertain median density population trend of 5.39% [95% CL -19.13%, 39.54%, (n=2, f=0.626)] per year and estimated an uncertain median occupancy trend of 3.73% [95% CL -19.99%, 41.48%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Black-capped Chickadee,5.3040598890000004,-12.96,27.28,0.67800000000000005,47,7.738075838,-12.62,30.34,0.766,25,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,5.3,estimated an uncertain,7.74,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of 5.3% [95% CL -12.96%, 27.28%, (n=47, f=0.678)] per year and estimated an uncertain median occupancy trend of 7.74% [95% CL -12.62%, 30.34%, (n=25, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Black-capped Chickadee,3.428008379,-13.81,23.64,0.60199999999999998,51,1.222654951,-15.06,25.92,0.52,36,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,3.43,estimated an uncertain,1.22,estimated an uncertain,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of 3.43% [95% CL -13.81%, 23.64%, (n=51, f=0.602)] per year and estimated an uncertain median occupancy trend of 1.22% [95% CL -15.06%, 25.92%, (n=36, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Black-capped Chickadee,-1.0913883609999999,-23.78,27.28,0.56799999999999995,38,-2.576294535,-22.92,26.64,0.632,17,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,-1.09,estimated an uncertain,-2.58,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of -1.09% [95% CL -23.78%, 27.28%, (n=38, f=0.568)] per year and estimated an uncertain median occupancy trend of -2.58% [95% CL -22.92%, 26.64%, (n=17, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Belted Kingfisher,7.223729037,-18.33,48.05,0.66274509800000003,2,2.544707319,-21.29,38.96,0.558704453,1,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,7.22,estimated an uncertain,2.54,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of 7.22% [95% CL -18.33%, 48.05%, (n=2, f=0.663)] per year and estimated an uncertain median occupancy trend of 2.54% [95% CL -21.29%, 38.96%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Bell's Vireo,-6.1718813109999999,-23.7,17.54,0.75333333300000005,32,-0.571900335,-23.84,37.31,0.54,21,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,-6.17,estimated an uncertain,-0.57,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of -6.17% [95% CL -23.7%, 17.54%, (n=32, f=0.753)] per year and estimated an uncertain median occupancy trend of -0.57% [95% CL -23.84%, 37.31%, (n=21, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,Bell's Vireo,-8.128711483,-23.35,11.17,0.86666666699999995,41,-10.41319317,-29.25,11.85,0.850909091,22,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,-8.13,estimated an uncertain,-10.41,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of -8.13% [95% CL -23.35%, 11.17%, (n=41, f=0.867)] per year and estimated an uncertain median occupancy trend of -10.41% [95% CL -29.25%, 11.85%, (n=22, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Bell's Vireo,3.656996339,-29.86,64.83,0.546666667,1,5.488499326,-20.78,56.56,0.594545455,1,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,3.66,estimated an uncertain,5.49,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of 3.66% [95% CL -29.86%, 64.83%, (n=1, f=0.547)] per year and estimated an uncertain median occupancy trend of 5.49% [95% CL -20.78%, 56.56%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Blue-gray Gnatcatcher,11.17269398,-17.73,50.01,0.74042553200000005,1,6.841520341,-18.17,41.37,0.661818182,1,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,11.17,estimated an uncertain,6.84,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of 11.17% [95% CL -17.73%, 50.01%, (n=1, f=0.74)] per year and estimated an uncertain median occupancy trend of 6.84% [95% CL -18.17%, 41.37%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,Brown-headed Cowbird,-1.2410390739999999,-12.27,10.33,0.66,123,-2.395175624,-13.63,12.2,0.69,69,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,-1.24,estimated an uncertain,-2.4,estimated an uncertain,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of -1.24% [95% CL -12.27%, 10.33%, (n=123, f=0.66)] per year and estimated an uncertain median occupancy trend of -2.4% [95% CL -13.63%, 12.2%, (n=69, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Brown-headed Cowbird,-13.732450829999999,-25.28,-4.76,1,132,-22.25840404,-34.64,-8.09,0.998333333,82,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,-13.73,estimated a decreasing,-22.26,estimated a decreasing,"Oglala National Grassland (NE-BCR18-GG) estimated a decreasing median density population trend of -13.73% [95% CL -25.28%, -4.76%, (n=132, f=1)] per year and estimated a decreasing median occupancy trend of -22.26% [95% CL -34.64%, -8.09%, (n=82, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Brown-headed Cowbird,-13.55486456,-21.88,-3.85,0.997777778,175,-20.5817638,-31.48,-8.89,1,106,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,-13.55,estimated a decreasing,-20.58,estimated a decreasing,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated a decreasing median density population trend of -13.55% [95% CL -21.88%, -3.85%, (n=175, f=0.998)] per year and estimated a decreasing median occupancy trend of -20.58% [95% CL -31.48%, -8.89%, (n=106, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Brown-headed Cowbird,-2.59959696,-11.12,5.38,0.80222222200000004,420,-4.764032175,-16.33,6.18,0.848333333,234,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,-2.6,estimated an uncertain,-4.76,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of -2.6% [95% CL -11.12%, 5.38%, (n=420, f=0.802)] per year and estimated an uncertain median occupancy trend of -4.76% [95% CL -16.33%, 6.18%, (n=234, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,Brown-headed Cowbird,-1.526885418,-9.63,6.97,0.73333333300000003,350,-4.408343415,-13.64,4.47,0.883333333,196,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,-1.53,estimated an uncertain,-4.41,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of -1.53% [95% CL -9.63%, 6.97%, (n=350, f=0.733)] per year and estimated an uncertain median occupancy trend of -4.41% [95% CL -13.64%, 4.47%, (n=196, f=1)] per year from 2013 to 2023"
SD-BCR17-GG: Buffalo Gap National Grassland,2013-2023,11,Brown-headed Cowbird,-4.6037736799999998,-15.47,6.56,0.84,249,-5.361862076,-17.1,5.46,0.881666667,145,2013,2023,11,Buffalo Gap National Grassland,SD-BCR17-GG,1,-4.6,estimated an uncertain,-5.36,estimated an uncertain,"Buffalo Gap National Grassland (SD-BCR17-GG) estimated an uncertain median density population trend of -4.6% [95% CL -15.47%, 6.56%, (n=249, f=0.84)] per year and estimated an uncertain median occupancy trend of -5.36% [95% CL -17.1%, 5.46%, (n=145, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Brown-headed Cowbird,-0.71751675100000001,-7.5,6.96,0.7,1175,-5.840941616,-16.39,5.02,0.878333333,435,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,-0.72,estimated an uncertain,-5.84,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of -0.72% [95% CL -7.5%, 6.96%, (n=1,175, f=0.7)] per year and estimated an uncertain median occupancy trend of -5.84% [95% CL -16.39%, 5.02%, (n=435, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Black-headed Grosbeak,-14.43614953,-34,4.69,0.93829787200000003,37,-12.08929312,-29.66,10.13,0.893333333,21,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,-14.44,estimated a decreasing,-12.09,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated a decreasing median density population trend of -14.44% [95% CL -34%, 4.69%, (n=37, f=0.938)] per year and estimated an uncertain median occupancy trend of -12.09% [95% CL -29.66%, 10.13%, (n=21, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Black-headed Grosbeak,-6.5672036519999999,-20.84,8.58,0.86170212800000001,51,-9.561244194,-23.93,5.07,0.924444444,31,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,-6.57,estimated an uncertain,-9.56,estimated a decreasing,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of -6.57% [95% CL -20.84%, 8.58%, (n=51, f=0.862)] per year and estimated a decreasing median occupancy trend of -9.56% [95% CL -23.93%, 5.07%, (n=31, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Black-headed Grosbeak,-3.6182469570000002,-27.17,25.93,0.62978723400000003,1,-2.176663092,-24.82,23.58,0.615555556,1,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,-3.62,estimated an uncertain,-2.18,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of -3.62% [95% CL -27.17%, 25.93%, (n=1, f=0.63)] per year and estimated an uncertain median occupancy trend of -2.18% [95% CL -24.82%, 23.58%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,Blue Grosbeak,3.2763914500000002,-27.46,44.3,0.53800000000000003,1,3.365227502,-28.07,55.91,0.547272727,0,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,3.28,estimated an uncertain,3.37,estimated an uncertain,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of 3.28% [95% CL -27.46%, 44.3%, (n=1, f=0.538)] per year and estimated an uncertain median occupancy trend of 3.37% [95% CL -28.07%, 55.91%, (n=0, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Blue Grosbeak,25.104336709999998,-13.94,96.98,0.872,5,11.9792083,-18.81,67.12,0.701818182,1,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,25.1,estimated an uncertain,11.98,estimated an uncertain,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of 25.1% [95% CL -13.94%, 96.98%, (n=5, f=0.872)] per year and estimated an uncertain median occupancy trend of 11.98% [95% CL -18.81%, 67.12%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Blue Grosbeak,10.29026799,-9.69,37.21,0.78200000000000003,38,3.638140387,-22.94,41.35,0.563636364,16,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,10.29,estimated an uncertain,3.64,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of 10.29% [95% CL -9.69%, 37.21%, (n=38, f=0.782)] per year and estimated an uncertain median occupancy trend of 3.64% [95% CL -22.94%, 41.35%, (n=16, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,Blue Grosbeak,-15.69776064,-30.57,0.14,0.97799999999999998,29,-17.02670488,-34.88,1.48,0.972727273,20,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,-15.7,estimated a decreasing,-17.03,estimated a decreasing,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated a decreasing median density population trend of -15.7% [95% CL -30.57%, 0.14%, (n=29, f=0.978)] per year and estimated a decreasing median occupancy trend of -17.03% [95% CL -34.88%, 1.48%, (n=20, f=1)] per year from 2013 to 2023"
SD-BCR17-GG: Buffalo Gap National Grassland,2013-2023,11,Blue Grosbeak,15.481932179999999,-19.46,75.79,0.76800000000000002,1,3.351219852,-31.25,55.05,0.552727273,0,2013,2023,11,Buffalo Gap National Grassland,SD-BCR17-GG,1,15.48,estimated an uncertain,3.35,estimated an uncertain,"Buffalo Gap National Grassland (SD-BCR17-GG) estimated an uncertain median density population trend of 15.48% [95% CL -19.46%, 75.79%, (n=1, f=0.768)] per year and estimated an uncertain median occupancy trend of 3.35% [95% CL -31.25%, 55.05%, (n=0, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Blue Grosbeak,25.316859170000001,-9.71,82.01,0.89800000000000002,2,13.74836759,-16.02,69.95,0.778181818,2,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,25.32,estimated an uncertain,13.75,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of 25.32% [95% CL -9.71%, 82.01%, (n=2, f=0.898)] per year and estimated an uncertain median occupancy trend of 13.75% [95% CL -16.02%, 69.95%, (n=2, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,Blue Jay,25.431658769999999,-16,89.09,0.84444444399999996,4,11.96243462,-22.52,81.29,0.699619772,1,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,25.43,estimated an uncertain,11.96,estimated an uncertain,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of 25.43% [95% CL -16%, 89.09%, (n=4, f=0.844)] per year and estimated an uncertain median occupancy trend of 11.96% [95% CL -22.52%, 81.29%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Blue Jay,31.64241449,-12.06,89.85,0.93111111099999999,12,22.48134745,-17.09,88.49,0.83460076,4,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,31.64,estimated a increasing,22.48,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated a increasing median density population trend of 31.64% [95% CL -12.06%, 89.85%, (n=12, f=0.931)] per year and estimated an uncertain median occupancy trend of 22.48% [95% CL -17.09%, 88.49%, (n=4, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,Blue Jay,39.682145820000002,1.25,111.87,0.97777777799999999,8,32.02577737,-3.35,97.32,0.954372624,5,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,39.68,estimated a increasing,32.03,estimated a increasing,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated a increasing median density population trend of 39.68% [95% CL 1.25%, 111.87%, (n=8, f=0.978)] per year and estimated a increasing median occupancy trend of 32.03% [95% CL -3.35%, 97.32%, (n=5, f=1)] per year from 2013 to 2023"
